qpcr_name	group_id
saline	PBS 0 nmol
0.4 NMOLE exNA	2439-s4 fixed tail 0.2 nmol
0.4 NMOLE P3V1F-HI PS	2439-s2 fixed tail 0.2 nmol
0.4 NMOLE P3V1M	2439-s2 matched tail 0.2 nmol
10 NMOLE exNA	2439-s4 fixed tail 5 nmol
10 NMOLE P3V1F-HI PS	2439-s2 fixed tail 5 nmol
10 NMOLE P3V1F-LO PS	2439-s3 fixed tail 5 nmol
10 NMOLE P3V1M	2439-s2 matched tail 5 nmol
2 NMOLE exNA	2439-s4 fixed tail 1 nmol
2 NMOLE P3V1F-HI PS	2439-s2 fixed tail 1 nmol
2 NMOLE P3V1M	2439-s2 matched tail 1 nmol
no lysate	
NA	