Run ID	Sample No.	Animal ID	Group	core vs recovery	Dose (mg)	Sex	Matrix	Type of Matrix Specimen	Study Day	Collection Date	Nominal Time Point (hours)	LLOQ (ng/mL)	Concentration (ng/mL)
AN411.0-24_01_AB03	101	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	16	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	28	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	45	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	57	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	113	101	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	102	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	17	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	29	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	46	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	58	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	114	102	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	103	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	18	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	30	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	47	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	59	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	115	103	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	104	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	19	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	31	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	48	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	60	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	116	104	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	105	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	20	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	32	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	49	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	66	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB04	34	105	1	recovery	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	130	105	1	recovery	0	M	Plasma	n.a.	3	17-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	134	105	1	recovery	0	M	Plasma	n.a.	4	18-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	106	106	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	21	106	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	33	106	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	50	106	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	67	106	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	118	106	1	recovery	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	131	106	1	recovery	0	M	Plasma	n.a.	3	17-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	135	106	1	recovery	0	M	Plasma	n.a.	4	18-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	107	151	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	22	151	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	34	151	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	51	151	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	68	151	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	124	151	1	core	0	F	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	108	152	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	23	152	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	35	152	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	52	152	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	69	152	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	125	152	1	core	0	F	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	109	153	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	24	153	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	41	153	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	53	153	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	70	153	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	126	153	1	core	0	F	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	110	154	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	25	154	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	42	154	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	54	154	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	71	154	1	core	0	F	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	127	154	1	core	0	F	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	111	155	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	26	155	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	43	155	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	55	155	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	72	155	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	128	155	1	recovery	0	F	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	132	155	1	recovery	0	F	Plasma	n.a.	3	17-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	136	155	1	recovery	0	F	Plasma	n.a.	4	18-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	112	156	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	27	156	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	44	156	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	56	156	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	73	156	1	recovery	0	F	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	129	156	1	recovery	0	F	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	133	156	1	recovery	0	F	Plasma	n.a.	3	17-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	137	156	1	recovery	0	F	Plasma	n.a.	4	18-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	138	201	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	74	201	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0.5	1	212.2
AN411.0-24_01_AB01	92	201	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	4	1	178.5
AN411.0-24_01_AB01	105	201	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	8	1	51.3
AN411.0-24_01_AB01	124	201	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	12	1	6.5
AN411.0-24_01_AB03	155	201	2	core	20	M	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	139	202	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	75	202	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0.5	1	95
AN411.0-24_01_AB01	93	202	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	4	1	143.4
AN411.0-24_01_AB01	106	202	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	8	1	49.1
AN411.0-24_01_AB01	125	202	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	12	1	13
AN411.0-24_01_AB03	156	202	2	core	20	M	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	140	203	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	76	203	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0.5	1	291
AN411.0-24_01_AB01	94	203	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	4	1	119.6
AN411.0-24_01_AB01	107	203	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	8	1	26.5
AN411.0-24_01_AB01	126	203	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	12	1	5
AN411.0-24_01_AB03	157	203	2	core	20	M	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	141	204	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	77	204	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	0.5	1	47.5
AN411.0-24_01_AB01	95	204	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	4	1	144.6
AN411.0-24_01_AB01	108	204	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	8	1	69.2
AN411.0-24_01_AB01	127	204	2	core	20	M	Plasma	n.a.	1	16-Jul-2024	12	1	50.6
AN411.0-24_01_AB03	158	204	2	core	20	M	Plasma	n.a.	2	17-Jul-2024	24	1	3.6
AN411.0-24_01_AB03	142	205	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	78	205	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	0.5	1	112.8
AN411.0-24_01_AB01	96	205	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	4	1	197.8
AN411.0-24_01_AB01	109	205	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	8	1	82.1
AN411.0-24_01_AB01	128	205	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	12	1	47.8
AN411.0-24_01_AB03	159	205	2	recovery	20	M	Plasma	n.a.	2	17-Jul-2024	24	1	1
AN411.0-24_01_AB03	167	205	2	recovery	20	M	Plasma	n.a.	3	18-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	176	205	2	recovery	20	M	Plasma	n.a.	4	19-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	143	206	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	79	206	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	0.5	1	411.8
AN411.0-24_01_AB01	97	206	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	4	1	205.5
AN411.0-24_01_AB01	110	206	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	8	1	12.4
AN411.0-24_01_AB01	129	206	2	recovery	20	M	Plasma	n.a.	1	16-Jul-2024	12	1	4.8
AN411.0-24_01_AB03	160	206	2	recovery	20	M	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	168	206	2	recovery	20	M	Plasma	n.a.	3	18-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	177	206	2	recovery	20	M	Plasma	n.a.	4	19-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	144	251	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	80	251	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	311.1
AN411.0-24_01_AB01	98	251	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	116.5
AN411.0-24_01_AB01	111	251	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	21.9
AN411.0-24_01_AB01	130	251	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	5.3
AN411.0-24_01_AB03	161	251	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	150	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	81	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	288.6
AN411.0-24_01_AB01	99	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	139.2
AN411.0-24_01_AB01	112	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	82.4
AN411.0-24_01_AB01	131	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	30.3
AN411.0-24_01_AB03	162	252	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	1.3
AN411.0-24_01_AB03	151	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	82	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	832.1
AN411.0-24_01_AB01	100	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	140.9
AN411.0-24_01_AB01	119	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	31.1
AN411.0-24_01_AB01	132	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	10
AN411.0-24_01_AB03	163	253	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	152	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	83	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	184.7
AN411.0-24_01_AB01	101	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	292.2
AN411.0-24_01_AB01	120	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	58.3
AN411.0-24_01_AB01	133	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	12.1
AN411.0-24_01_AB03	164	254	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	153	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	84	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	351.5
AN411.0-24_01_AB01	102	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	177
AN411.0-24_01_AB01	121	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	28.1
AN411.0-24_01_AB01	134	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	5.5
AN411.0-24_01_AB03	165	255	2	recovery	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	169	255	2	recovery	20	F	Plasma	n.a.	3	18-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	178	255	2	recovery	20	F	Plasma	n.a.	4	19-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	154	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	85	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	264.7
AN411.0-24_01_AB01	103	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	163.4
AN411.0-24_01_AB01	122	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	27.3
AN411.0-24_01_AB01	135	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	7
AN411.0-24_01_AB03	166	256	2	recovery	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	170	256	2	recovery	20	F	Plasma	n.a.	3	18-Jul-2024	48	1	0.5
