Run ID	Sample No.	Animal ID	Group	core vs recovery	Dose (mg)	Sex	Matrix	Type of Matrix Specimen	Study Day	Collection Date	Nominal Time Point (hours)	LLOQ (ng/mL)	Concentration (ng/mL)
AN411.0-24_01_AB03	179	256	2	recovery	20	F	Plasma	n.a.	4	19-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	180	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	61	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	3,501.60
AN411.0-24_01_AB03	75	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,218.60
AN411.0-24_01_AB01	174	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	154.5
AN411.0-24_01_AB01	187	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	15.2
AN411.0-24_01_AB03	192	301	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	181	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	254	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	456.8
AN411.0-24_01_AB03	76	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,082.70
AN411.0-24_01_AB01	175	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	296.5
AN411.0-24_01_AB01	188	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	125.1
AN411.0-24_01_AB03	193	302	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	26
AN411.0-24_01_AB03	182	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	62	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	4,874.00
AN411.0-24_01_AB03	77	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,816.10
AN411.0-24_01_AB01	176	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	99.1
AN411.0-24_01_AB01	189	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	17.8
AN411.0-24_01_AB03	194	303	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	183	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	63	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	3,944.90
AN411.0-24_01_AB03	78	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,538.90
AN411.0-24_01_AB01	177	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	139
AN411.0-24_01_AB01	190	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	33.5
AN411.0-24_01_AB03	195	304	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	184	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	64	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	4,612.80
AN411.0-24_01_AB03	79	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	3,000.10
AN411.0-24_01_AB01	178	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	141.8
AN411.0-24_01_AB01	191	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	30.6
AN411.0-24_01_AB03	196	305	3	recovery	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	1.2
AN411.0-24_01_AB03	209	305	3	recovery	60	M	Plasma	n.a.	3	19-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	213	305	3	recovery	60	M	Plasma	n.a.	4	20-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	185	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	70	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	3,593.70
AN411.0-24_01_AB03	80	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,678.10
AN411.0-24_01_AB01	179	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	495.7
AN411.0-24_01_AB01	192	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	49.9
AN411.0-24_01_AB03	202	306	3	recovery	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	1.8
AN411.0-24_01_AB03	210	306	3	recovery	60	M	Plasma	n.a.	3	19-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	214	306	3	recovery	60	M	Plasma	n.a.	4	20-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	186	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	71	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	4,964.40
AN411.0-24_01_AB03	81	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,203.40
AN411.0-24_01_AB01	180	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	342.1
AN411.0-24_01_AB01	193	351	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	34
AN411.0-24_01_AB03	203	351	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	1.3
AN411.0-24_01_AB03	187	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	255	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	125.7
AN411.0-24_01_AB03	82	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	1,866.40
AN411.0-24_01_AB01	181	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	820.3
AN411.0-24_01_AB01	194	352	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	161.6
AN411.0-24_01_AB03	204	352	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	25.4
AN411.0-24_01_AB03	188	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	72	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	9,655.50
AN411.0-24_01_AB03	83	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,410.80
AN411.0-24_01_AB01	182	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	258.7
AN411.0-24_01_AB01	201	353	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	35.7
AN411.0-24_01_AB03	205	353	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	1.2
AN411.0-24_01_AB03	189	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	73	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	9,282.10
AN411.0-24_01_AB03	84	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,680.10
AN411.0-24_01_AB01	183	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	155
AN411.0-24_01_AB01	202	354	3	core	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	21.3
AN411.0-24_01_AB03	206	354	3	core	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	190	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	74	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	2,261.80
AN411.0-24_01_AB03	85	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	3,010.60
AN411.0-24_01_AB01	184	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	435.6
AN411.0-24_01_AB01	203	355	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	98
AN411.0-24_01_AB03	207	355	3	recovery	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	6.5
AN411.0-24_01_AB03	211	355	3	recovery	60	F	Plasma	n.a.	3	19-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	215	355	3	recovery	60	F	Plasma	n.a.	4	20-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	191	356	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	256	356	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	0.5	1	284.5
AN411.0-24_01_AB03	86	356	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	4	1	2,030.70
AN411.0-24_01_AB01	185	356	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	8	1	475.1
AN411.0-24_01_AB01	204	356	3	recovery	60	F	Plasma	n.a.	1	17-Jul-2024	12	1	79.8
AN411.0-24_01_AB03	208	356	3	recovery	60	F	Plasma	n.a.	2	18-Jul-2024	24	1	2.7
AN411.0-24_01_AB03	212	356	3	recovery	60	F	Plasma	n.a.	3	19-Jul-2024	48	1	1
AN411.0-24_01_AB03	216	356	3	recovery	60	F	Plasma	n.a.	4	20-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	217	401	4		200	M	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	16	401	4		200	M	Plasma	n.a.	1	18-Jul-2024	0.5	1	5,525.20
AN411.0-24_01_AB03	28	401	4		200	M	Plasma	n.a.	1	18-Jul-2024	4	1	3,505.10
AN411.0-24_01_AB03	45	401	4		200	M	Plasma	n.a.	1	18-Jul-2024	8	1	3,333.20
AN411.0-24_01_AB03	87	401	4		200	M	Plasma	n.a.	1	18-Jul-2024	12	1	1,751.90
AN411.0-24_01_AB03	234	401	4		200	M	Plasma	n.a.	2	19-Jul-2024	24	1	68.5
AN411.0-24_01_AB03	218	402	4		200	M	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	17	402	4		200	M	Plasma	n.a.	1	18-Jul-2024	0.5	1	11,645.10
AN411.0-24_01_AB03	29	402	4		200	M	Plasma	n.a.	1	18-Jul-2024	4	1	8,622.80
AN411.0-24_01_AB03	46	402	4		200	M	Plasma	n.a.	1	18-Jul-2024	8	1	1,992.50
AN411.0-24_01_AB03	257	402	4		200	M	Plasma	n.a.	1	18-Jul-2024	12	1	124.5
AN411.0-24_01_AB03	235	402	4		200	M	Plasma	n.a.	2	19-Jul-2024	24	1	3.1
AN411.0-24_01_AB03	219	403	4		200	M	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	18	403	4		200	M	Plasma	n.a.	1	18-Jul-2024	0.5	1	9,431.90
AN411.0-24_01_AB03	30	403	4		200	M	Plasma	n.a.	1	18-Jul-2024	4	1	11,574.90
AN411.0-24_01_AB03	47	403	4		200	M	Plasma	n.a.	1	18-Jul-2024	8	1	3,142.80
AN411.0-24_01_AB01	253	403	4		200	M	Plasma	n.a.	1	18-Jul-2024	12	1	155.7
AN411.0-24_01_AB03	236	403	4		200	M	Plasma	n.a.	2	19-Jul-2024	24	1	4.8
AN411.0-24_01_AB03	220	404	4		200	M	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	19	404	4		200	M	Plasma	n.a.	1	18-Jul-2024	0.5	1	8,437.70
AN411.0-24_01_AB03	31	404	4		200	M	Plasma	n.a.	1	18-Jul-2024	4	1	9,751.70
AN411.0-24_01_AB03	48	404	4		200	M	Plasma	n.a.	1	18-Jul-2024	8	1	5,154.70
AN411.0-24_01_AB01	254	404	4		200	M	Plasma	n.a.	1	18-Jul-2024	12	1	910.7
AN411.0-24_01_AB03	237	404	4		200	M	Plasma	n.a.	2	19-Jul-2024	24	1	7
AN411.0-24_01_AB03	221	405	4		200	M	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	20	405	4		200	M	Plasma	n.a.	1	18-Jul-2024	0.5	1	3,534.50
AN411.0-24_01_AB03	32	405	4		200	M	Plasma	n.a.	1	18-Jul-2024	4	1	10,336.10
AN411.0-24_01_AB03	49	405	4		200	M	Plasma	n.a.	1	18-Jul-2024	8	1	8,994.80
AN411.0-24_01_AB03	88	405	4		200	M	Plasma	n.a.	1	18-Jul-2024	12	1	1,839.20
AN411.0-24_01_AB03	238	405	4		200	M	Plasma	n.a.	2	19-Jul-2024	24	1	27.8
AN411.0-24_01_AB03	246	405	4		200	M	Plasma	n.a.	3	20-Jul-2024	48	1	1.2
AN411.0-24_01_AB03	250	405	4		200	M	Plasma	n.a.	4	21-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	222	406	4		200	M	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	21	406	4		200	M	Plasma	n.a.	1	18-Jul-2024	0.5	1	8,859.70
AN411.0-24_01_AB03	33	406	4		200	M	Plasma	n.a.	1	18-Jul-2024	4	1	12,874.50
AN411.0-24_01_AB03	50	406	4		200	M	Plasma	n.a.	1	18-Jul-2024	8	1	5,567.40
AN411.0-24_01_AB03	258	406	4		200	M	Plasma	n.a.	1	18-Jul-2024	12	1	209.8
AN411.0-24_01_AB03	239	406	4		200	M	Plasma	n.a.	2	19-Jul-2024	24	1	2.9
AN411.0-24_01_AB03	247	406	4		200	M	Plasma	n.a.	3	20-Jul-2024	48	1	1.4
AN411.0-24_01_AB03	251	406	4		200	M	Plasma	n.a.	4	21-Jul-2024	72	1	1.2
AN411.0-24_01_AB03	228	451	4		200	F	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	22	451	4		200	F	Plasma	n.a.	1	18-Jul-2024	0.5	1	25,387.90
AN411.0-24_01_AB03	34	451	4		200	F	Plasma	n.a.	1	18-Jul-2024	4	1	17,030.90
AN411.0-24_01_AB03	51	451	4		200	F	Plasma	n.a.	1	18-Jul-2024	8	1	2,418.90
AN411.0-24_01_AB01	257	451	4		200	F	Plasma	n.a.	1	18-Jul-2024	12	1	153.6
AN411.0-24_01_AB03	240	451	4		200	F	Plasma	n.a.	2	19-Jul-2024	24	1	5.7
AN411.0-24_01_AB03	229	452	4		200	F	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	23	452	4		200	F	Plasma	n.a.	1	18-Jul-2024	0.5	1	6,103.20
AN411.0-24_01_AB03	35	452	4		200	F	Plasma	n.a.	1	18-Jul-2024	4	1	17,615.60
AN411.0-24_01_AB03	52	452	4		200	F	Plasma	n.a.	1	18-Jul-2024	8	1	7,058.20
AN411.0-24_01_AB01	258	452	4		200	F	Plasma	n.a.	1	18-Jul-2024	12	1	452
AN411.0-24_01_AB03	241	452	4		200	F	Plasma	n.a.	2	19-Jul-2024	24	1	14.7
AN411.0-24_01_AB03	230	453	4		200	F	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	24	453	4		200	F	Plasma	n.a.	1	18-Jul-2024	0.5	1	3,987.00
AN411.0-24_01_AB03	36	453	4		200	F	Plasma	n.a.	1	18-Jul-2024	4	1	7,411.70
AN411.0-24_01_AB03	53	453	4		200	F	Plasma	n.a.	1	18-Jul-2024	8	1	5,745.70
AN411.0-24_01_AB03	89	453	4		200	F	Plasma	n.a.	1	18-Jul-2024	12	1	1,828.60
AN411.0-24_01_AB03	242	453	4		200	F	Plasma	n.a.	2	19-Jul-2024	24	1	65.9
AN411.0-24_01_AB03	231	454	4		200	F	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	25	454	4		200	F	Plasma	n.a.	1	18-Jul-2024	0.5	1	3,053.20
AN411.0-24_01_AB03	42	454	4		200	F	Plasma	n.a.	1	18-Jul-2024	4	1	7,795.10
AN411.0-24_01_AB03	54	454	4		200	F	Plasma	n.a.	1	18-Jul-2024	8	1	5,270.00
AN411.0-24_01_AB03	90	454	4		200	F	Plasma	n.a.	1	18-Jul-2024	12	1	1,736.70
AN411.0-24_01_AB03	243	454	4		200	F	Plasma	n.a.	2	19-Jul-2024	24	1	282.1
AN411.0-24_01_AB03	232	455	4		200	F	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	26	455	4		200	F	Plasma	n.a.	1	18-Jul-2024	0.5	1	5,478.10
AN411.0-24_01_AB03	43	455	4		200	F	Plasma	n.a.	1	18-Jul-2024	4	1	14,429.60
AN411.0-24_01_AB03	55	455	4		200	F	Plasma	n.a.	1	18-Jul-2024	8	1	11,450.10
AN411.0-24_01_AB03	96	455	4		200	F	Plasma	n.a.	1	18-Jul-2024	12	1	1,909.00
AN411.0-24_01_AB03	244	455	4		200	F	Plasma	n.a.	2	19-Jul-2024	24	1	4.7
AN411.0-24_01_AB03	248	455	4		200	F	Plasma	n.a.	3	20-Jul-2024	48	1	2
AN411.0-24_01_AB03	252	455	4		200	F	Plasma	n.a.	4	21-Jul-2024	72	1	1.3
AN411.0-24_01_AB03	233	456	4		200	F	Plasma	n.a.	1	18-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	27	456	4		200	F	Plasma	n.a.	1	18-Jul-2024	0.5	1	26,654.40
AN411.0-24_01_AB03	44	456	4		200	F	Plasma	n.a.	1	18-Jul-2024	4	1	13,222.60
AN411.0-24_01_AB03	56	456	4		200	F	Plasma	n.a.	1	18-Jul-2024	8	1	6,120.10
AN411.0-24_01_AB03	259	456	4		200	F	Plasma	n.a.	1	18-Jul-2024	12	1	304
AN411.0-24_01_AB03	245	456	4		200	F	Plasma	n.a.	2	19-Jul-2024	24	1	32.2
AN411.0-24_01_AB03	249	456	4		200	F	Plasma	n.a.	3	20-Jul-2024	48	1	1.3
AN411.0-24_01_AB03	253	456	4		200	F	Plasma	n.a.	4	21-Jul-2024	72	1	1.4