row	col	prnp	hprt	ratio	dose	compound	normed
A	1	3643985	1484814	2.4541693437696575	1500	1035	1.1242609808149495
A	2	3207925	1615094	1.9862156629892749	1500	1035	0.909890254741901
A	3	5283684	1898329	2.783334184959509	1500	1035	1.2750521999072182
A	4	550202	2072458	0.26548282281233204	1500	1682	0.12161833066745689
A	5	662956	2138836	0.30996111903857987	1500	1682	0.14199394699044876
A	6	510869	1610136	0.317283136331341	1500	1682	0.14534818102649916
A	7	1004158	2365966	0.42441776424513283	1500	1862	0.19442681619215346
A	8	1023293	2039014	0.5018567797965094	1500	1862	0.22990181868053358
A	9	1091693	2371211	0.46039470970740265	1500	1862	0.21090794293054277
A	10	1090664	2700873	0.40381906146642216	1500	1919	0.18499050005190815
A	11	1133313	2240538	0.5058218160102618	1500	1919	0.23171821147101349
A	12	1036039	1361740	0.7608199803192973	1500	1919	0.3485334944260741
B	1	4645143	2086824	2.225939034628699	750	1035	1.0197081178033105
B	2	4016018	1696188	2.3676726872257086	750	1035	1.0846366508272138
B	3	5377122	2057358	2.613605410434159	750	1035	1.1972990330343543
B	4	932889	2325943	0.4010799060854028	750	1682	0.18373568627017492
B	5	930940	2105522	0.44214213862405616	750	1682	0.20254639546005015
B	6	771947	2394055	0.32244330226331475	750	1682	0.1477120656649315
B	7	1759772	2961094	0.5942979182693964	750	1862	0.2722493303838388
B	8	1576407	2701312	0.5835708722280136	750	1862	0.2673352443472136
B	9	755545	1292142	0.5847228864938993	750	1862	0.26786298490096366
B	10	841614	1583627	0.5314471147561894	750	1919	0.24345722352204036
B	11	800402	1303003	0.614274871201371	750	1919	0.28140082139810513
B	12	2001368	2644775	0.7567252412776134	750	1919	0.3466576844527845
C	1	6363941	2408527	2.64225437373133	375	1035	1.2104231932140814
C	2	2885348	1314454	2.1950924109934618	375	1035	1.0055772040458626
C	3	5004637	2287359	2.1879543176213265	375	1035	1.002307226007844
C	4	1629622	3283312	0.4963347985205183	375	1682	0.22737218554778013
C	5	1501501	3730063	0.40254038604709896	375	1682	0.1844047357138759
C	6	1352885	2235107	0.6052886953510503	375	1682	0.2772842322552634
C	7	2345588	2321048	1.0105728102133174	375	1862	0.46294587685224553
C	8	2098926	2222847	0.9442512237684375	375	1862	0.43256379583774063
C	9	1821738	2239648	0.8134037134406835	375	1862	0.3726222312217
C	10	2079228	2064986	1.0068968990588798	375	1919	0.46126193295881857
C	11	2075517	1439599	1.4417327325178748	375	1919	0.6604612921469594
C	12	4498348	3043596	1.4779714521901066	375	1919	0.6770623382913958
D	1	7918881	3644616	2.172761410255566	187.5	1035	0.9953473179722298
D	2	2060559	1233959	1.6698763897341808	187.5	1035	0.7649744596999103
D	3	3988088	2110346	1.8897792115605687	187.5	1035	0.8657124803984991
D	4	1425886	1557391	0.9155607037667484	187.5	1682	0.41942059842999996
D	5	1709128	4132770	0.413555073231755	187.5	1682	0.18945059086198485
D	6	1652767	1978463	0.8353792817960205	187.5	1682	0.3826892928512727
D	7	4508765	3250879	1.386937194524927	187.5	1862	0.6353593221282122
D	8	4366187	2474477	1.764488819253523	187.5	1862	0.8083166451439334
D	9	2527159	2300087	1.0987232222085512	187.5	1862	0.5033277962583357
D	10	2049258	1977032	1.0365325396857512	187.5	1919	0.47483809243731173
D	11	1949858	1720629	1.1332239547281837	187.5	1919	0.5191326662359622
D	12	6347148	2878512	2.2050100885457486	187.5	1919	1.0101205163974112
E	1	6153540	2395105	2.569215128355542	93.75	1035	1.1769637362077296
E	2	3879867	1537420	2.523622042122517	93.75	1035	1.1560774318551592
E	3	3029162	1749101	1.7318393849183094	93.75	1035	0.7933598593940232
E	4	1991133	1991609	0.9997609972640212	93.75	1682	0.45799295888771235
E	5	2637970	1362391	1.9362796730160432	93.75	1682	0.8870144555604814
E	6	5432869	4180936	1.2994384511028152	93.75	1682	0.5952759336898584
E	7	5309352	3856538	1.3767145559048037	93.75	1862	0.6306763063653622
E	8	4984333	3077074	1.619828772398714	93.75	1862	0.7420475237507405
E	9	3518148	2058792	1.7088409125351176	93.75	1862	0.7828242029266268
E	10	2477798	2045824	1.2111491506600762	93.75	1919	0.5548303891461581
E	11	2717966	2093649	1.2981956383328819	93.75	1919	0.5947065981192542
E	12	5364361	2665355	2.0126253350866956	93.75	1919	0.9219885901443149
F	8	8651179	3221950	2.6850754977575693	46.875	1862	1.230039654897769
F	9	9886876	3766650	2.6248459506457995	46.875	1862	1.2024483520067026
F	12	7809495	3282297	2.3792773780069263	46.875	1919	1.0899527880664257
G	1	6277050	2505762	2.505046369128433	23.4375	1035	1.1475678706088481
G	4	2219553	2056092	1.0795008200022178	23.4375	1682	0.4945219667775889
G	5	5889095	2864171	2.056125489714127	23.4375	1682	0.9419161174077424
G	6	6925983	2939926	2.3558358271602753	23.4375	1682	1.0792141562708715
G	7	3538637	2724493	1.2988240380870864	23.4375	1862	0.5949944695841143
G	8	3537856	2146393	1.6482796952841348	23.4375	1862	0.755080961133314
G	9	4541515	2591995	1.7521310804997694	23.4375	1862	0.8026555347860762
G	10	6694445	3194353	2.095712339869764	23.4375	1919	0.9600509503182494
G	11	5100003	2123302	2.401920687683617	23.4375	1919	1.100325743629024
G	12	6274596	2844727	2.205693551613213	23.4375	1919	1.010433612500795
H	1	4828796	2061978	2.3418271193970064	0	1035	1.072796732970452
H	2	4422964	2019883	2.1897129685234242	0	1035	1.0031128682888557
H	3	5646355	2685484	2.102546505583351	0	1035	0.9631816983522897
H	4	5546550	2529596	2.1926623856141454	0	1682	1.0044640034742351
H	5	5259932	2410615	2.1819875840812406	0	1682	0.9995738507747663
H	6	6642847	3139984	2.1155671493867483	0	1682	0.9691464871352693
H	7	6192464	2325790	2.662520691893937	0	1862	1.2197072431484688
H	8	6143524	2912634	2.1092674191127343	0	1862	0.9662605652836608
H	9	4366532	1705592	2.5601269236722497	0	1862	1.1728004074068774
H	10	3957498	2382584	1.6610109024487698	0	1919	0.7609131582839335
H	12	3760175	1984401	1.8948665113553158	0	1919	0.8680429848811918
